x,y,Ma,rho,u,v,p,T
23.270431,-1.175240,2.181085,0.975885,707.143261,-66.247057,73915.461092,263.899318
23.270431,-0.145859,2.187333,0.980670,708.218123,-65.928255,74070.628417,263.163069
23.270431,0.883522,2.202659,0.975792,710.509661,-68.600852,73198.926054,261.365919
23.270431,1.912903,2.214136,0.966696,712.089768,-71.738514,72145.365017,260.027893
23.270431,2.942284,2.202916,0.979020,710.616395,-67.932003,73432.624446,261.335874
23.270431,3.971665,2.165995,1.019374,705.512366,-55.714268,77731.998193,265.685455
23.270431,5.001046,2.118464,1.075065,698.436571,-39.763614,83738.278570,271.388070
23.270431,6.030427,2.074331,1.130370,691.325858,-24.864350,89797.339263,276.786128
23.270431,7.059808,2.040493,1.174907,685.506248,-13.460323,94753.608595,280.991882
23.270431,8.089189,2.018588,1.204551,681.565281,-6.135868,98096.107304,283.744946
23.270431,9.118570,2.006940,1.220491,679.413540,-2.277520,99910.501769,285.218726
23.270431,10.147951,2.002043,1.227203,678.497415,-0.668156,100678.889486,285.840284
23.270431,11.177332,2.000464,1.229365,678.200498,-0.151502,100927.077593,286.040998
23.270431,12.206713,2.000080,1.229891,678.128137,-0.026021,100987.470305,286.089860
23.270431,13.236094,2.000010,1.229986,678.115010,-0.003280,100998.420655,286.098722
23.270431,14.265475,2.000001,1.229999,678.113277,-0.000278,100999.866257,286.099892
23.270431,15.294856,2.000000,1.230000,678.113121,-0.000008,100999.996146,286.099997
23.270431,16.324237,2.000000,1.230000,678.113114,0.000003,101000.001435,286.100001
23.270431,17.353618,2.000000,1.230000,678.113116,0.000001,101000.000522,286.100000
23.270431,18.382999,2.000000,1.230000,678.113116,0.000000,101000.000136,286.100000
23.270431,19.412380,2.000000,1.230000,678.113116,0.000000,101000.000030,286.100000
23.270431,20.441761,2.000000,1.230000,678.113116,0.000000,101000.000006,286.100000
23.270431,21.471142,2.000000,1.230000,678.113116,0.000000,101000.000001,286.100000
23.270431,22.500523,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
23.270431,23.529904,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
23.270431,24.559285,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
23.270431,25.588666,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
23.270431,26.618047,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
23.270431,27.647428,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
23.270431,28.676809,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
23.270431,29.706190,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
23.270431,30.735571,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
23.270431,31.764952,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
23.270431,32.794333,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
23.270431,33.823714,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
23.270431,34.853095,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
23.270431,35.882476,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
23.270431,36.911857,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
23.270431,37.941238,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
23.270431,38.970619,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
23.270431,40.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
